iter	Passed	Remaining
480	619	668
481	621	667
482	622	665
483	623	664
484	623	662
485	624	660
486	625	659
487	626	657
488	627	655
489	628	654
490	629	652
491	630	650
492	631	648
493	631	647
494	632	645
495	633	643
496	634	642
497	635	640
498	636	639
499	637	637
500	638	635
501	639	634
502	640	632
503	640	630
504	641	629
505	642	627
506	643	625
507	644	624
508	645	622
509	646	620
510	647	619
511	647	617
512	648	615
513	649	614
514	651	613
515	652	611
516	653	610
517	654	608
518	654	606
519	655	605
520	656	603
521	657	601
522	658	600
523	658	598
524	659	596
525	660	595
526	661	593
527	662	591
528	663	590
529	663	588
530	664	587
531	665	585
532	666	584
533	667	582
534	668	580
535	669	579
536	670	577
537	670	576
538	671	574
539	672	573
540	673	571
541	674	569
542	675	568
543	676	566
544	676	565
545	677	563
546	678	561
547	679	560
548	680	559
549	681	557
550	682	556
551	683	554
552	684	553
553	685	551
554	686	550
555	687	548
556	687	547
557	688	545
558	689	544
559	690	542
560	691	540
561	692	539
562	693	537
563	693	536
564	695	535
565	695	533
566	696	532
567	697	530
568	698	529
569	699	527
570	700	526
571	701	524
572	702	523
573	703	521
574	703	520
575	704	518
576	705	517
577	706	515
578	707	514
579	708	512
580	708	511
581	709	509
582	710	508
583	711	506
584	712	505
585	712	503
586	713	502
587	714	500
588	715	499
589	716	497
590	717	496
591	717	494
592	718	493
593	719	491
594	720	490
595	721	488
596	722	487
597	722	485
598	723	484
599	725	483
600	726	482
601	727	481
602	729	480
603	730	478
604	731	477
605	732	476
606	733	474
607	733	473
608	734	471
609	735	470
610	736	468
611	737	467
612	738	466
613	739	464
614	740	463
615	741	462
616	742	460
617	742	459
618	743	457
619	744	456
620	745	455
621	746	453
622	747	452
623	748	450
624	749	449
625	750	448
626	750	446
627	751	445
628	752	443
629	753	442
630	754	441
631	755	439
632	755	438
633	756	436
634	757	435
635	758	434
636	759	432
637	760	431
638	761	429
639	761	428
640	762	427
641	763	425
642	764	424
643	765	423
644	766	421
645	766	420
646	767	418
647	768	417
648	769	416
649	770	415
650	772	413
651	773	412
652	773	411
653	774	409
654	775	408
655	776	407
656	777	405
657	778	404
658	779	403
659	779	401
660	780	400
661	781	399
662	782	397
663	783	396
664	784	395
665	786	394
666	788	393
667	789	392
668	790	390
669	791	389
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	797	382
676	798	380
677	799	379
678	800	378
679	801	377
680	802	375
681	803	374
682	804	373
683	804	371
684	805	370
685	806	369
686	807	367
687	808	366
688	809	365
689	809	363
690	810	362
691	811	361
692	813	360
693	814	359
694	815	357
695	815	356
696	816	355
697	817	353
698	818	352
699	819	351
700	820	349
701	821	348
702	822	347
703	822	345
704	823	344
705	824	343
706	825	342
707	826	341
708	828	339
709	829	338
710	830	337
711	831	336
712	832	335
713	833	333
714	834	332
715	835	331
716	836	330
717	837	328
718	837	327
719	838	326
720	839	324
721	840	323
722	841	322
723	842	321
724	843	319
725	844	318
726	844	317
727	845	315
728	846	314
729	847	313
730	848	312
731	849	310
732	850	309
733	850	308
734	851	307
735	852	305
736	853	304
737	854	303
738	855	302
739	856	300
740	857	299
741	859	298
742	860	297
743	861	296
744	861	295
745	862	293
746	863	292
747	864	291
748	865	290
749	866	288
750	867	287
751	868	286
752	869	285
753	869	283
754	870	282
755	872	281
756	873	280
757	874	279
758	875	278
759	876	276
760	877	275
761	878	274
762	879	273
763	880	271
764	881	270
765	882	269
766	883	268
767	884	267
768	885	265
769	886	264
770	887	263
771	888	262
772	890	261
773	891	260
774	892	259
775	893	257
776	894	256
777	895	255
778	896	254
779	897	253
780	897	251
781	898	250
782	900	249
783	900	248
784	901	247
785	903	245
786	904	244
787	904	243
788	905	242
789	906	241
790	907	239
791	908	238
792	909	237
793	910	236
794	911	235
795	912	233
796	913	232
797	914	231
798	915	230
799	916	229
800	917	227
801	918	226
802	919	225
803	920	224
804	921	223
805	922	222
806	923	220
807	924	219
808	925	218
809	926	217
810	927	216
811	928	214
812	930	213
813	931	212
814	932	211
815	933	210
816	934	209
817	935	208
818	936	207
819	937	205
820	938	204
821	939	203
822	940	202
823	941	201
824	942	199
825	943	198
826	944	197
827	946	196
828	947	195
829	948	194
830	949	193
831	951	192
832	952	190
833	953	189
834	954	188
835	955	187
836	956	186
837	957	185
838	959	184
839	960	182
840	961	181
841	962	180
842	963	179
843	964	178
844	965	177
845	966	175
846	967	174
847	968	173
848	968	172
849	969	171
850	970	169
851	971	168
852	973	167
853	975	166
854	976	165
855	978	164
856	979	163
857	980	162
858	982	161
859	983	160
860	984	158
861	985	157
862	986	156
863	988	155
864	989	154
865	991	153
866	992	152
867	993	151
868	994	149
869	995	148
870	997	147
871	999	146
872	1000	145
873	1002	144
874	1003	143
875	1004	142
876	1006	141
877	1008	140
878	1010	139
879	1011	137
880	1013	136
881	1014	135
882	1016	134
883	1017	133
884	1019	132
885	1020	131
886	1021	130
887	1023	129
888	1024	127
889	1025	126
890	1027	125
891	1028	124
892	1030	123
893	1031	122
894	1033	121
895	1034	120
896	1036	118
897	1037	117
898	1038	116
899	1039	115
900	1040	114
901	1042	113
902	1043	112
903	1044	110
904	1046	109
905	1047	108
906	1049	107
907	1050	106
908	1052	105
909	1053	104
910	1054	103
911	1055	101
912	1056	100
913	1058	99
914	1059	98
915	1060	97
916	1062	96
917	1063	95
918	1064	93
919	1066	92
920	1067	91
921	1068	90
922	1069	89
923	1071	88
924	1072	86
925	1073	85
926	1074	84
927	1075	83
928	1076	82
929	1078	81
930	1079	79
931	1080	78
932	1081	77
933	1083	76
934	1084	75
935	1085	74
936	1086	73
937	1088	71
938	1088	70
939	1089	69
940	1091	68
941	1092	67
942	1093	66
943	1094	64
944	1096	63
945	1097	62
946	1098	61
947	1099	60
948	1101	59
949	1102	58
950	1103	56
951	1105	55
952	1106	54
953	1107	53
954	1109	52
955	1110	51
956	1112	49
957	1113	48
958	1114	47
959	1116	46
960	1117	45
961	1118	44
962	1119	43
963	1121	41
964	1122	40
965	1123	39
966	1125	38
967	1127	37
968	1128	36
969	1130	34
970	1131	33
971	1133	32
972	1135	31
973	1136	30
974	1138	29
975	1139	28
976	1140	26
977	1142	25
978	1143	24
979	1144	23
980	1145	22
981	1146	21
982	1148	19
983	1149	18
984	1150	17
985	1151	16
986	1152	15
987	1154	14
988	1155	12
989	1156	11
990	1157	10
991	1159	9
992	1160	8
993	1161	7
994	1162	5
995	1163	4
996	1164	3
997	1165	2
998	1166	1
999	1168	0
